product_id,customer_id,Rate
92554,13738,5
71691,13738,5
45776,78098,3
84976,54426,1
42757,54426,3
96547,38984,5
21272,38984,5
22100,38984,3
24371,38984,1
61793,38984,4
34505,38984,5
62553,38984,5
64399,20633,5
58291,47001,5
96742,34205,5
95325,34205,5
56094,80992,5
44043,83011,5
11189,75705,5
11071,75705,5
16756,75705,5
59367,10626,5
89401,10626,5
91831,92850,5
84976,49920,5
87823,30280,5
78498,30280,5
23505,50993,5
87390,50993,5
58689,50993,5
88543,50993,4
66512,50993,5
67782,50993,2
61549,50993,5
35980,88186,5
81763,12308,5
79249,12308,5
68963,85676,4
38242,85676,5
89533,85676,5
30116,85676,5
70996,63977,5
70916,67875,5
52674,13241,3
86126,49197,5
39952,49197,3
73189,96360,4
92262,86140,5
88098,86140,1
36462,60192,5
31398,60192,4
70604,60192,5
51172,60192,4
11998,75998,3
44914,75998,4
19444,93615,4
71228,93615,5
30364,93615,4
69902,93615,4
92262,93615,1
12563,93615,5
37832,93615,5
37532,97721,5
56482,97721,4
74839,97721,3
83728,97721,5
36092,78951,5
96062,57713,1
78356,57713,5
68047,94139,4
36258,16648,5
58454,50993,4
33741,83669,4
96652,83669,1
41025,83669,5
61669,97873,1
57979,97873,5
75816,97873,5
92463,83669,5
38762,13976,5
42509,13976,2
89769,52678,4
98559,52678,5
97255,45967,5
97889,91363,2
91020,96360,4
84102,53751,2
54684,53751,1
48724,35700,3
83575,33301,4
70996,33301,5
26925,33301,5
21124,94838,5
53238,94838,5
98420,94838,5
17842,76379,5
11894,40268,5
12064,32968,5
93945,42571,5
62043,65588,1
21140,65588,5
93675,65588,5
71230,52696,4
81531,85057,4
10013,85057,1
70602,85057,5
19175,61374,5
21869,61374,1
92529,61374,4
63491,92602,1
17004,99067,5
99101,56290,5
98995,56290,5
25564,78432,4
32672,78432,5
11485,78432,4
48481,78432,5
89577,13656,1
20985,35812,5
47950,84151,5
24371,84151,3
67078,84151,4
28056,84151,4
58124,84151,5
79531,70228,5
53880,56071,5
25926,91436,2
42050,91436,5
36092,49670,4
46742,49670,1
91609,70720,4
24868,70720,5
41466,70720,5
49836,28261,5
87130,28261,4
74462,28261,5
55447,28261,4
54795,28261,5
80610,28261,5
70604,28261,4
58689,70795,3
23734,40132,5
68946,40132,3
87515,40132,5
63799,96697,1
97889,12718,5
11103,85787,4
83306,97889,1
47039,97889,5
71691,97889,4
64323,97889,4
53852,88858,3
35972,88858,5
79337,80692,5
26818,80692,5
90878,80692,1
77088,98889,5
79531,74406,5
94020,74117,5
22303,74117,5
45952,24830,4
46047,84211,5
96803,82387,5
11625,85622,1
99741,16715,5
67526,16715,4
65096,16715,5
65609,16715,4
33429,16715,5
11031,16715,4
20446,16715,5
52927,56130,4
25041,56130,5
16600,56130,1
44313,89636,5
42099,89636,5
65663,36393,4
22070,83669,1
42927,83669,5
83775,47110,3
62506,90645,1
23177,90645,3
36814,52172,5
48468,52172,1
88964,52172,1
79894,16087,4
68440,14817,5
17575,44146,5
79337,44146,4
85798,96976,3
94094,96976,4
40718,96976,4
38242,96976,3
98672,96976,5
88543,53054,4
35597,13632,1
95430,13632,1
73029,66545,4
76234,14439,5
52607,14439,5
65377,62316,5
80052,15908,3
69898,15908,5
13771,33733,1
81102,93031,5
88303,62148,5
24221,66552,4
31296,66552,5
25926,66552,5
91450,66552,4
67578,66552,5
37357,66937,1
30244,86869,5
15560,86869,5
21869,86869,4
80055,86869,4
96065,86869,5
17575,23842,5
21959,23842,5
93200,95292,1
69589,95292,3
98420,95292,5
40630,95292,5
50940,95292,5
74491,95292,5
75258,93703,5
14211,93703,5
55577,93703,4
42640,48784,5
18754,48784,5
76838,62346,5
45873,91363,1
40693,91363,5
76838,91363,5
35332,91363,5
32770,91363,5
34635,86924,4
24692,20153,5
76720,20153,5
20469,20153,4
94538,20153,4
99095,20153,1
72661,20153,4
35597,20153,5
79531,57553,4
71463,57553,4
62065,57553,3
98555,57553,5
40718,57553,5
56954,88172,5
72061,72080,5
32770,72080,5
14117,15260,5
87779,15260,3
72661,57066,1
73960,57066,5
90878,57066,5
37116,57066,3
17116,31976,2
81979,31976,5
22526,31976,3
68608,51499,5
67526,98403,1
49354,98403,1
49019,68969,5
32634,88133,5
72341,71919,5
57312,53751,4
70471,45344,3
92361,45344,5
40112,50900,5
68567,12718,4
70508,12718,5
85704,12718,5
85121,13399,4
87089,13399,5
90310,22497,1
43999,22497,4
40342,22497,2
59547,22497,5
11557,84151,3
70058,84151,5
46941,83698,4
23264,50993,5
55395,50993,5
69079,50993,4
85403,75756,4
65663,75756,5
76617,75756,4
26948,10114,1
10260,10114,4
59669,10114,5
20335,10114,4
